epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,8162.24,0.2951,0.24824,0.8456,0.93772,1,0.98161,0.97325,0.2126,1.3625,0.78815,0.008218,0.008218,0.008218
74,8273.64,0.29909,0.24289,0.84721,0.93746,1,0.97126,0.96556,0.20336,1.3352,0.7867,0.00819325,0.00819325,0.00819325
75,8384.93,0.29613,0.24374,0.84876,0.93742,1,0.96853,0.95821,0.20642,1.34672,0.78527,0.0081685,0.0081685,0.0081685
76,8496.45,0.29537,0.24475,0.84381,0.93737,1,0.95916,0.94905,0.2117,1.34731,0.78536,0.00814375,0.00814375,0.00814375
77,8607.75,0.29762,0.23984,0.84585,0.93749,1,0.96145,0.95375,0.1994,1.32676,0.78821,0.008119,0.008119,0.008119
78,8719.54,0.29376,0.23823,0.84667,0.93751,1,0.97135,0.96384,0.21094,1.37641,0.79127,0.00809425,0.00809425,0.00809425
79,8831.03,0.30137,0.24598,0.8507,0.93771,1,0.98872,0.98177,0.20297,1.35075,0.78684,0.0080695,0.0080695,0.0080695
80,8942.54,0.29665,0.2444,0.84505,0.93705,0.99984,0.95575,0.94867,0.20297,1.35328,0.78692,0.00804475,0.00804475,0.00804475
81,9054.57,0.2956,0.24247,0.84721,0.93777,1,0.94822,0.9432,0.19961,1.36196,0.7795,0.00802,0.00802,0.00802
82,9166.51,0.29162,0.23964,0.84376,0.93794,1,0.96628,0.95709,0.20275,1.33661,0.78469,0.00799525,0.00799525,0.00799525
83,9278.3,0.29478,0.23858,0.84542,0.93805,1,0.98055,0.97227,0.20045,1.32004,0.78694,0.0079705,0.0079705,0.0079705
84,9390.63,0.29412,0.24263,0.84323,0.93748,1,0.94937,0.94433,0.19988,1.37816,0.78738,0.00794575,0.00794575,0.00794575
