epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3099.2,0.32163,0.24829,0.85761,0.93765,1,0.98898,0.96557,0.24441,1.42848,0.79847,0.005743,0.005743,0.005743
88,3134.72,0.31604,0.24037,0.85155,0.93779,1,0.95511,0.93097,0.23924,1.3842,0.80164,0.0056935,0.0056935,0.0056935
89,3170.28,0.32231,0.25207,0.85504,0.93755,1,0.98271,0.96101,0.23547,1.35056,0.79872,0.005644,0.005644,0.005644
90,3205.92,0.32008,0.24358,0.85335,0.93755,1,0.97697,0.95877,0.23781,1.40686,0.80091,0.0055945,0.0055945,0.0055945
91,3241.33,0.31652,0.23975,0.85437,0.93796,1,0.97758,0.95261,0.24189,1.36382,0.80173,0.005545,0.005545,0.005545
92,3276.79,0.31519,0.23346,0.8547,0.938,1,0.97216,0.95773,0.23476,1.39303,0.79999,0.0054955,0.0054955,0.0054955
93,3312.28,0.31413,0.23859,0.85677,0.93775,1,0.97873,0.95491,0.24313,1.39108,0.80463,0.005446,0.005446,0.005446
94,3347.69,0.31711,0.23668,0.85543,0.93749,1,0.95664,0.93847,0.23053,1.38458,0.80168,0.0053965,0.0053965,0.0053965
95,3383.1,0.32015,0.23953,0.85985,0.93777,1,0.95255,0.93879,0.23116,1.4026,0.79689,0.005347,0.005347,0.005347
96,3418.45,0.31993,0.23451,0.85569,0.93745,1,0.98548,0.96481,0.24203,1.3636,0.79654,0.0052975,0.0052975,0.0052975
97,3453.99,0.31794,0.23408,0.85618,0.93797,1,0.95872,0.94552,0.22581,1.4163,0.7939,0.005248,0.005248,0.005248
98,3489.47,0.31038,0.22894,0.84994,0.93764,1,0.94964,0.93213,0.2354,1.36476,0.80089,0.0051985,0.0051985,0.0051985
99,3524.91,0.30727,0.22955,0.84589,0.93744,1,0.95044,0.93627,0.23892,1.39571,0.79968,0.005149,0.005149,0.005149
100,3560.55,0.30995,0.2328,0.85091,0.93785,1,0.95984,0.94067,0.23568,1.38908,0.7994,0.0050995,0.0050995,0.0050995
101,3596.04,0.31374,0.23727,0.85109,0.93763,1,0.95628,0.94047,0.22283,1.37062,0.79663,0.00505,0.00505,0.00505
102,3631.55,0.30844,0.22623,0.85233,0.93737,1,0.97224,0.95413,0.23218,1.44668,0.79775,0.0050005,0.0050005,0.0050005
103,3666.96,0.31096,0.23053,0.85035,0.93729,1,0.97158,0.95515,0.23674,1.41975,0.79471,0.004951,0.004951,0.004951
104,3702.68,0.30807,0.22064,0.84786,0.93711,1,0.96361,0.94636,0.22484,1.42558,0.7941,0.0049015,0.0049015,0.0049015
105,3738.4,0.30231,0.21937,0.84782,0.93759,1,0.9797,0.96407,0.22586,1.41738,0.79508,0.004852,0.004852,0.004852
106,3773.89,0.30451,0.22819,0.84919,0.9378,1,0.98362,0.96838,0.23168,1.40472,0.79706,0.0048025,0.0048025,0.0048025
107,3809.32,0.30405,0.22189,0.85015,0.93724,0.99992,0.97535,0.96191,0.22884,1.41217,0.79406,0.004753,0.004753,0.004753
108,3844.67,0.30401,0.22709,0.85134,0.93761,1,0.99301,0.97677,0.2364,1.41691,0.79581,0.0047035,0.0047035,0.0047035
109,3880.01,0.30583,0.22153,0.84709,0.93797,1,0.98976,0.97703,0.22508,1.40317,0.79245,0.004654,0.004654,0.004654
110,3915.58,0.30806,0.22521,0.85162,0.93778,1,0.96007,0.94256,0.22878,1.40728,0.79764,0.0046045,0.0046045,0.0046045
111,3950.95,0.3033,0.21714,0.84444,0.93801,1,0.96139,0.94352,0.23951,1.41278,0.80133,0.004555,0.004555,0.004555
112,3986.38,0.29979,0.2125,0.84585,0.93772,1,0.96223,0.94728,0.22885,1.41004,0.79641,0.0045055,0.0045055,0.0045055
113,4021.92,0.30121,0.21934,0.84889,0.93763,1,0.97731,0.96192,0.22748,1.43329,0.7962,0.004456,0.004456,0.004456
114,4057.42,0.30344,0.22019,0.85031,0.93799,1,0.97251,0.9552,0.23212,1.42936,0.79666,0.0044065,0.0044065,0.0044065
115,4092.81,0.30036,0.21318,0.84867,0.93589,1,0.98831,0.9691,0.23894,1.43346,0.79934,0.004357,0.004357,0.004357
116,4128.39,0.29891,0.21767,0.84692,0.93718,1,0.97379,0.95831,0.22953,1.4375,0.79743,0.0043075,0.0043075,0.0043075
117,4163.77,0.30109,0.21983,0.84439,0.93761,1,0.98989,0.97333,0.23539,1.44585,0.79558,0.004258,0.004258,0.004258
118,4199.13,0.29933,0.2143,0.849,0.93783,1,0.98044,0.96671,0.23081,1.40919,0.79574,0.0042085,0.0042085,0.0042085
119,4234.56,0.29882,0.21245,0.84892,0.93592,1,0.9511,0.93827,0.22414,1.42093,0.79472,0.004159,0.004159,0.004159
120,4270,0.2991,0.2185,0.84598,0.9378,1,0.95387,0.94009,0.22715,1.44402,0.79855,0.0041095,0.0041095,0.0041095
121,4305.98,0.29541,0.21376,0.84642,0.9377,1,0.96621,0.95506,0.22843,1.42907,0.79803,0.00406,0.00406,0.00406
122,4342.11,0.29508,0.20683,0.84242,0.93773,1,0.9664,0.95213,0.22785,1.44508,0.7951,0.0040105,0.0040105,0.0040105
123,4377.58,0.29537,0.21423,0.84769,0.93763,1,0.94966,0.93638,0.2208,1.45175,0.78447,0.003961,0.003961,0.003961
124,4412.97,0.2921,0.20935,0.84402,0.93772,1,0.97631,0.96312,0.22266,1.42141,0.79158,0.0039115,0.0039115,0.0039115
125,4448.46,0.29231,0.21115,0.8455,0.93789,1,0.97398,0.96241,0.22361,1.46044,0.79306,0.003862,0.003862,0.003862
